Datetime,Open,High,Low,Close,Volume
2023-07-01 08:00:00,30460.2,30485.7,30446.3,30482.5,799.801
2023-07-01 08:05:00,30482.4,30501.3,30467.7,30498.0,468.449
2023-07-01 08:10:00,30498.0,30507.4,30405.6,30438.6,1491.201
2023-07-01 08:15:00,30438.7,30478.9,30436.5,30471.3,788.212
2023-07-01 08:20:00,30471.3,30488.0,30452.8,30480.8,423.075
2023-07-01 08:25:00,30480.8,30524.7,30468.0,30504.0,760.314
2023-07-01 08:30:00,30504.1,30524.0,30493.5,30496.9,818.623
2023-07-01 08:35:00,30496.8,30515.9,30479.0,30512.5,630.567
2023-07-01 08:40:00,30512.6,30527.2,30502.2,30503.5,703.331
2023-07-01 08:45:00,30503.6,30503.6,30447.4,30468.6,1069.74
2023-07-01 08:50:00,30468.5,30480.0,30453.2,30474.6,413.355
2023-07-01 08:55:00,30474.7,30474.7,30450.0,30459.1,423.424
2023-07-01 09:00:00,30459.1,30475.7,30439.0,30441.4,1145.536
2023-07-01 09:05:00,30441.5,30446.0,30395.3,30427.2,1054.413
2023-07-01 09:10:00,30427.2,30469.4,30427.1,30463.9,474.362
2023-07-01 09:15:00,30463.9,30463.9,30380.6,30412.8,1302.507
2023-07-01 09:20:00,30412.8,30429.1,30367.4,30396.7,1309.177
2023-07-01 09:25:00,30396.8,30425.0,30396.0,30406.0,749.829
2023-07-01 09:30:00,30406.0,30439.4,30390.8,30433.3,780.912
2023-07-01 09:35:00,30433.3,30451.5,30430.7,30442.8,428.158
2023-07-01 09:40:00,30442.8,30457.9,30427.6,30438.1,405.607
2023-07-01 09:45:00,30438.2,30448.2,30421.3,30440.5,468.309
2023-07-01 09:50:00,30440.5,30443.7,30423.4,30428.4,242.331
2023-07-01 09:55:00,30428.5,30436.8,30420.0,30433.4,236.62
2023-07-01 10:00:00,30433.3,30444.3,30406.3,30409.9,418.883
2023-07-01 10:05:00,30410.0,30468.5,30380.0,30466.5,1538.219
2023-07-01 10:10:00,30466.6,30466.6,30441.8,30446.3,297.981
2023-07-01 10:15:00,30446.4,30464.2,30442.3,30451.5,407.087
2023-07-01 10:20:00,30451.6,30465.0,30446.7,30464.0,244.968
2023-07-01 10:25:00,30464.0,30497.0,30464.0,30488.8,916.339
2023-07-01 10:30:00,30488.8,30522.0,30485.3,30485.3,1133.228
2023-07-01 10:35:00,30485.3,30485.4,30458.3,30482.6,403.437
2023-07-01 10:40:00,30482.5,30482.6,30456.3,30458.8,440.304
2023-07-01 10:45:00,30458.7,30460.0,30411.8,30424.0,654.536
2023-07-01 10:50:00,30423.9,30424.6,30409.9,30412.1,413.803
2023-07-01 10:55:00,30412.0,30422.0,30400.0,30408.4,676.561
2023-07-01 11:00:00,30408.4,30418.6,30405.0,30417.6,361.416
2023-07-01 11:05:00,30417.6,30435.7,30416.4,30416.5,440.366
2023-07-01 11:10:00,30416.4,30416.5,30400.4,30404.0,305.003
2023-07-01 11:15:00,30403.9,30431.0,30400.0,30403.0,538.302
2023-07-01 11:20:00,30403.0,30405.0,30386.3,30394.1,641.941
2023-07-01 11:25:00,30394.2,30400.4,30386.0,30395.1,420.66
2023-07-01 11:30:00,30395.1,30408.3,30387.0,30388.1,398.163
2023-07-01 11:35:00,30388.2,30391.2,30373.1,30382.9,403.715
2023-07-01 11:40:00,30382.9,30391.1,30368.9,30370.4,464.088
2023-07-01 11:45:00,30370.4,30388.1,30362.0,30380.8,499.612
2023-07-01 11:50:00,30380.8,30388.1,30380.0,30383.7,232.684
2023-07-01 11:55:00,30383.8,30391.3,30383.8,30391.2,139.118
2023-07-01 12:00:00,30391.2,30412.3,30391.2,30400.7,608.99
2023-07-01 12:05:00,30400.8,30406.0,30389.9,30389.9,279.61
2023-07-01 12:10:00,30389.9,30397.3,30377.0,30377.0,475.846
