Datetime,Open,High,Low,Close,Volume
2023-04-01 08:00:00,1820.81,1821.98,1820.48,1820.69,6345.837
2023-04-01 08:05:00,1820.68,1824.1,1820.58,1823.88,6530.547
2023-04-01 08:10:00,1823.86,1824.03,1822.22,1823.72,2564.903
2023-04-01 08:15:00,1823.73,1826.8,1823.48,1826.79,5609.004
2023-04-01 08:20:00,1826.79,1827.0,1822.34,1823.18,9394.664
2023-04-01 08:25:00,1823.18,1825.45,1822.9,1823.61,5231.206
2023-04-01 08:30:00,1823.61,1824.17,1822.53,1822.64,3782.103
2023-04-01 08:35:00,1822.64,1823.88,1821.63,1823.38,4134.908
2023-04-01 08:40:00,1823.38,1823.38,1819.0,1820.77,10255.405
2023-04-01 08:45:00,1820.77,1821.47,1819.33,1820.13,3886.503
2023-04-01 08:50:00,1820.12,1821.18,1820.12,1820.93,2044.844
2023-04-01 08:55:00,1820.94,1822.42,1820.93,1822.42,2837.309
2023-04-01 09:00:00,1822.42,1823.7,1822.0,1822.49,4646.305
2023-04-01 09:05:00,1822.49,1822.5,1820.76,1821.19,3432.186
2023-04-01 09:10:00,1821.19,1823.91,1821.0,1823.11,6021.498
2023-04-01 09:15:00,1823.11,1824.0,1822.79,1824.0,2445.412
2023-04-01 09:20:00,1824.0,1825.0,1823.08,1824.99,2961.488
2023-04-01 09:25:00,1824.99,1825.0,1823.83,1824.45,3130.457
2023-04-01 09:30:00,1824.46,1828.0,1824.45,1827.99,7066.638
2023-04-01 09:35:00,1827.99,1827.99,1825.06,1825.19,4686.628
2023-04-01 09:40:00,1825.2,1825.72,1824.8,1825.71,2081.989
2023-04-01 09:45:00,1825.72,1828.46,1825.29,1828.14,6087.476
2023-04-01 09:50:00,1828.14,1830.69,1827.08,1828.55,14321.226
2023-04-01 09:55:00,1828.54,1834.44,1827.52,1833.07,18815.989
2023-04-01 10:00:00,1833.08,1842.8,1832.0,1839.15,62759.672
2023-04-01 10:05:00,1839.13,1839.29,1834.38,1835.99,16769.278
2023-04-01 10:10:00,1835.99,1837.0,1831.75,1832.21,12976.896
