Datetime,Open,High,Low,Close,Volume
2023-08-01 08:00:00,1855.4,1855.83,1855.07,1855.47,4555.785
2023-08-01 08:05:00,1855.46,1855.46,1854.27,1854.28,3884.354
2023-08-01 08:10:00,1854.28,1855.18,1854.27,1855.18,3116.952
2023-08-01 08:15:00,1855.18,1856.16,1854.94,1856.16,4320.519
2023-08-01 08:20:00,1856.16,1858.12,1856.15,1857.2,6872.127
2023-08-01 08:25:00,1857.2,1858.1,1857.2,1858.1,4008.555
2023-08-01 08:30:00,1858.1,1859.36,1857.78,1859.0,3627.547
2023-08-01 08:35:00,1859.01,1859.94,1858.6,1859.92,6761.734
2023-08-01 08:40:00,1859.92,1860.0,1859.67,1859.79,3365.221
2023-08-01 08:45:00,1859.78,1860.43,1859.78,1860.25,4373.989
2023-08-01 08:50:00,1860.25,1860.54,1859.47,1860.54,5398.042
2023-08-01 08:55:00,1860.53,1861.74,1860.53,1860.99,7261.705
2023-08-01 09:00:00,1860.99,1863.68,1860.99,1863.22,9676.018
2023-08-01 09:05:00,1863.23,1863.99,1861.05,1861.8,6807.925
2023-08-01 09:10:00,1861.8,1862.95,1861.78,1861.92,4599.654
2023-08-01 09:15:00,1861.92,1862.33,1860.22,1860.54,5863.042
2023-08-01 09:20:00,1860.53,1860.54,1858.49,1858.51,4027.991
2023-08-01 09:25:00,1858.51,1858.52,1856.91,1856.99,6023.461
2023-08-01 09:30:00,1856.98,1857.35,1854.14,1854.68,8776.308
2023-08-01 09:35:00,1854.68,1856.77,1854.58,1856.37,5629.357
2023-08-01 09:40:00,1856.37,1856.56,1855.04,1856.11,2221.621
2023-08-01 09:45:00,1856.1,1856.57,1854.32,1854.32,2856.838
2023-08-01 09:50:00,1854.31,1854.53,1850.86,1851.8,14744.713
2023-08-01 09:55:00,1851.8,1853.18,1850.51,1852.0,10719.126
2023-08-01 10:00:00,1851.99,1853.13,1851.32,1852.2,6481.878
2023-08-01 10:05:00,1852.2,1852.2,1820.01,1825.05,133383.732
2023-08-01 10:10:00,1825.05,1827.75,1808.47,1821.78,193002.692
